,Date,Open,High,Low,Close
0,2021-03-01,1733.82,1759.54,1719.77,1724.95
1,2021-03-02,1724.96,1739.18,1707.31,1738.48
2,2021-03-03,1738.22,1740.52,1702.28,1711.04
3,2021-03-04,1710.98,1722.91,1690.94,1697.5
4,2021-03-05,1697.72,1707.48,1687.56,1698.33
5,2021-03-08,1703.55,1714.2,1676.95,1683.6
6,2021-03-09,1683.48,1720.69,1680.31,1716.17
7,2021-03-10,1716.11,1726.89,1708.26,1726.72
8,2021-03-11,1726.76,1739.91,1719.47,1722.6
9,2021-03-12,1722.34,1727.98,1699.35,1724.54
10,2021-03-15,1727.89,1734.57,1721.97,1732.16
11,2021-03-16,1730.77,1741.16,1726.38,1732.485
12,2021-03-17,1731.95,1751.65,1724.19,1747.38
13,2021-03-18,1747.5,1755.55,1719.31,1736.18
14,2021-03-19,1735.06,1746.74,1728.62,1745.0
15,2021-03-22,1738.18,1743.1,1727.58,1739.695
16,2021-03-23,1739.65,1742.53,1724.76,1727.48
17,2021-03-24,1727.02,1738.42,1724.08,1734.765
18,2021-03-25,1734.18,1745.52,1722.1,1727.855
19,2021-03-26,1727.96,1736.78,1721.7,1732.57
20,2021-03-29,1731.7,1733.2,1705.94,1712.21
21,2021-03-30,1712.37,1714.45,1678.92,1685.195
22,2021-03-31,1685.595,1715.2,1677.75,1707.65
23,2021-04-01,1708.0,1730.65,1705.85,1729.7
24,2021-04-05,1728.6,1733.56,1721.36,1728.33
25,2021-04-06,1728.6,1745.48,1727.3,1743.3
26,2021-04-07,1743.05,1744.43,1730.76,1737.7
27,2021-04-08,1737.9,1758.71,1733.24,1755.6
28,2021-04-09,1755.65,1757.39,1731.41,1742.98
29,2021-04-12,1743.0,1745.05,1727.79,1732.85
30,2021-04-13,1732.7,1748.94,1723.8,1745.34
31,2021-04-14,1745.65,1749.39,1732.88,1736.45
32,2021-04-15,1736.43,1769.64,1734.2,1763.64
33,2021-04-16,1763.75,1783.79,1759.91,1775.98
34,2021-04-19,1777.5,1790.06,1766.85,1771.45
35,2021-04-20,1770.85,1780.43,1763.77,1778.91
36,2021-04-21,1778.71,1797.57,1776.36,1793.65
37,2021-04-22,1794.0,1797.87,1777.53,1784.16
38,2021-04-23,1784.43,1795.98,1770.09,1776.3
39,2021-04-26,1776.05,1783.5,1769.1,1781.25
40,2021-04-27,1781.26,1785.58,1773.91,1776.65
41,2021-04-28,1776.7,1782.63,1762.69,1781.63
42,2021-04-29,1782.3,1790.0,1756.29,1772.03
43,2021-04-30,1772.88,1773.7,1764.4,1767.94
44,2021-05-03,1770.46,1797.89,1766.21,1792.995
45,2021-05-04,1794.015,1799.0,1771.29,1778.78
46,2021-05-05,1779.01,1788.07,1770.56,1786.86
47,2021-05-06,1787.23,1818.08,1782.2,1814.96
48,2021-05-07,1815.08,1843.26,1813.0,1832.13
49,2021-05-10,1832.78,1845.41,1830.15,1836.15
50,2021-05-11,1836.11,1841.81,1818.27,1837.49
51,2021-05-12,1837.51,1843.49,1813.43,1815.41
52,2021-05-13,1815.92,1828.73,1809.02,1826.5
53,2021-05-14,1826.49,1843.65,1819.98,1842.74
54,2021-05-17,1842.4,1868.49,1842.24,1866.85
55,2021-05-18,1865.7,1874.92,1863.39,1869.55
56,2021-05-19,1869.61,1890.07,1852.23,1869.52
57,2021-05-20,1869.71,1883.83,1863.96,1877.22
58,2021-05-21,1877.65,1889.34,1870.21,1879.9
59,2021-05-24,1881.99,1887.05,1875.79,1880.88
60,2021-05-25,1881.11,1900.32,1872.85,1899.16
61,2021-05-26,1899.09,1912.81,1890.83,1896.79
62,2021-05-27,1896.42,1903.73,1888.55,1896.37
63,2021-05-28,1897.53,1905.48,1882.52,1904.85
64,2021-05-31,1903.54,1910.62,1902.21,1906.75
65,2021-06-01,1907.4,1916.59,1892.53,1900.3
66,2021-06-02,1900.07,1909.1,1894.58,1908.28
67,2021-06-03,1907.96,1909.65,1865.55,1870.59
68,2021-06-04,1871.005,1896.13,1855.96,1891.53
69,2021-06-07,1891.66,1900.16,1881.61,1899.25
